folder,figure,file,msg,ok,actual,expected,errortype
V3,Ericson2017figure1,Ericson2017figure1_3,error running Ericson2017figure1_3,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x104d38100>)",successful execution,runtime error
V3,Ericson2017figure1,Ericson2017figure1_5,error running Ericson2017figure1_5,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x104d38940>)",successful execution,runtime error
V3,Ericson2017figure1,Ericson2017figure1_7,error running Ericson2017figure1_7,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x104d39000>)",successful execution,runtime error
V3,Ericson2017figure1,Ericson2017figure1_11,error running Ericson2017figure1_11,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x104d39fc0>)",successful execution,runtime error
V3,Ericson2017figure1,Ericson2017figure1_12,error running Ericson2017figure1_12,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x104d3a280>)",successful execution,runtime error
V3,Ericson2017figure1,Ericson2017figure1_0,[] = 0,True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_0,[0] = 0,True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_0,"[0,0,0] = 0",True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_0,[-1] = -1,True,-1,-1,
V3,Ericson2017figure1,Ericson2017figure1_0,"[1,0,-1,-1] = -1 ",True,-1,-1,
V3,Ericson2017figure1,Ericson2017figure1_0,"[1,2,3,4] = 10 ",True,10,10,
V3,Ericson2017figure1,Ericson2017figure1_0,"[-99,1,1,1,1,1] = 94 ",True,-94,-94,
V3,Ericson2017figure1,Ericson2017figure1_1,[] = 0,True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_1,[0] = 0,True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_1,"[0,0,0] = 0",True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_1,[-1] = -1,True,-1,-1,
V3,Ericson2017figure1,Ericson2017figure1_1,"[1,0,-1,-1] = -1 ",True,-1,-1,
V3,Ericson2017figure1,Ericson2017figure1_1,"[1,2,3,4] = 10 ",True,10,10,
V3,Ericson2017figure1,Ericson2017figure1_1,"[-99,1,1,1,1,1] = 94 ",True,-94,-94,
V3,Ericson2017figure1,Ericson2017figure1_2,[] = 0,True,0,0,
V3,Ericson2017figure1,Ericson2017figure1_2,[0] = 0,True,0,0,
