folder,figure,file,msg,ok,actual,expected,errortype
V2,Ericson2017figure1,Ericson2017figure1_3,error importing source code Ericson2017figure1_3,False,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unit/./V2/Ericson2017figure1/Ericson2017figure1_3.py', 2, 1, 'sum = 0\n', 2, 4)), <traceback object at 0x103560100>)",valid import,import error
V2,Ericson2017figure1,Ericson2017figure1_7,error running Ericson2017figure1_7,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x103561040>)",successful execution,runtime error
V2,Ericson2017figure1,Ericson2017figure1_16,error running Ericson2017figure1_16,False,"(<class 'NameError'>, NameError(""name 'numList' is not defined""), <traceback object at 0x1035636c0>)",successful execution,runtime error
V2,Ericson2017figure1,Ericson2017figure1_19,error importing source code Ericson2017figure1_19,False,"(<class 'IndentationError'>, IndentationError('expected an indented block after function definition on line 1', ('/Users/bnr01a/Documents/data/projects_current/CODEXParsons/unit/./V2/Ericson2017figure1/Ericson2017figure1_19.py', 2, 1, 'sum = 0\n', 2, 4)), <traceback object at 0x103574200>)",valid import,import error
V2,Ericson2017figure1,Ericson2017figure1_0,[] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_0,[0] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_0,"[0,0,0] = 0",True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_0,[-1] = -1,True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_0,"[1,0,-1,-1] = -1 ",True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_0,"[1,2,3,4] = 10 ",True,10,10,
V2,Ericson2017figure1,Ericson2017figure1_0,"[-99,1,1,1,1,1] = 94 ",True,-94,-94,
V2,Ericson2017figure1,Ericson2017figure1_1,[] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_1,[0] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_1,"[0,0,0] = 0",True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_1,[-1] = -1,True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_1,"[1,0,-1,-1] = -1 ",True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_1,"[1,2,3,4] = 10 ",True,10,10,
V2,Ericson2017figure1,Ericson2017figure1_1,"[-99,1,1,1,1,1] = 94 ",True,-94,-94,
V2,Ericson2017figure1,Ericson2017figure1_2,[] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_2,[0] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_2,"[0,0,0] = 0",True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_2,[-1] = -1,True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_2,"[1,0,-1,-1] = -1 ",True,-1,-1,
V2,Ericson2017figure1,Ericson2017figure1_2,"[1,2,3,4] = 10 ",True,10,10,
V2,Ericson2017figure1,Ericson2017figure1_2,"[-99,1,1,1,1,1] = 94 ",True,-94,-94,
V2,Ericson2017figure1,Ericson2017figure1_4,[] = 0,True,0,0,
V2,Ericson2017figure1,Ericson2017figure1_4,[0] = 0,True,0,0,
